(Statements made under) Coercion	(جبر کے تحت) بیانات	(दबाव में दिए गए) बयान	(জবরদস্তিতে দেওয়া) স্বীকারোক্তি	(Pernyataan di bawah) Paksaan
Ablutions (Wudu')	وضو	वुज़ू	ওযু	Wudu
Accepting Information Given by a Truthful Person	سچے شخص کی دی ہوئی خبر قبول کرنا	सच्चे व्यक्ति की दी हुई सूचना स्वीकार करना	সত্যবাদী ব্যক্তির দেওয়া তথ্য গ্রহণ	Menerima informasi dari orang yang jujur
Actions while Praying	نماز کے دوران افعال	नमाज़ के दौरान किए जाने वाले काम	নামাজের সময় করণীয়	Perbuatan saat salat
Afflictions and the End of the World	فتنے اور قیامت	उपद्रव और दुनिया का अंत	ফিতনা ও কিয়ামত	Fitnah dan akhir zaman
Agriculture	زراعت	कृषि	কৃষিকাজ	Pertanian
Al-Adha Festival Sacrifice (Adaahi)	قربانی (اضاحی)	कुरबानी (अदाही)	কুরবানি (আদাহী)	Kurban Iduladha (Adahi)
Apostates	مرتد	धर्मत्यागी	মুরতাদ	Orang murtad
Asking Permission	اجازت مانگنا	अनुमति माँगना	অনুমতি চাওয়া	Meminta izin
Bathing (Ghusl)	غسل	ग़ुस्ल	গোসল	Mandi (Ghusl)
Battles (Kitab Al-Malahim)	ملحمے (کتاب الملاحم)	युद्ध (किताब अल-मलाहिम्)	যুদ্ধ (কিতাবুল মালাহিম)	Peperangan (Kitab Al-Malahim)
Beginning of Creation	آغازِ تخلیق	सृष्टि का आरंभ	সৃষ্টির সূচনা	Awal penciptaan
Belief	ایمان	ईमान	ঈমান	Iman
Blood Money (Ad-Diyat)	دیت	खूनबहा (अद-दियात)	দিয়াত	Diyat (tebusan nyawa)
Call to Prayers (Adhaan)	اذان	अज़ान	আজান	Azan
Chapters On Al-Fitan	فتنوں کے ابواب	अल-फितन के अध्याय	আল-ফিতন সংক্রান্ত অধ্যায়	Bab Al-Fitan
Chapters On Al-Qadar	تقدیر کے ابواب	अल-कदर के अध्याय	আল-কদর সংক্রান্ত অধ্যায়	Bab Al-Qadar
Chapters On Dreams	خوابوں کے ابواب	स्वप्नों के अध्याय	স্বপ্ন সংক্রান্ত অধ্যায়	Bab mimpi
Chapters On Inheritance	میراث کے ابواب	विरासत के अध्याय	মিরাস সংক্রান্ত অধ্যায়	Bab warisan
Chapters On Wala' And Gifts	ولا اور ہبہ کے ابواب	वला और उपहार के अध्याय	ওয়ালা ও উপহার সংক্রান্ত অধ্যায়	Bab wala' dan hadiah
Chapters On Wasaya (Wills and Testament)	وصیت کے ابواب	वसीयत के अध्याय	ওয়াসিয়াত সংক্রান্ত অধ্যায়	Bab wasiat
Chapters On Witnesses	گواہوں کے ابواب	गवाहों के अध्याय	সাক্ষী সংক্রান্ত অধ্যায়	Bab saksi
Chapters On Zuhd	زہد کے ابواب	जुहद के अध्याय	জুহদ সংক্রান্ত অধ্যায়	Bab zuhud
Chapters Regarding Funerals	جنازوں کے ابواب	जनाज़े के अध्याय	জানাজা সংক্রান্ত অধ্যায়	Bab jenazah
Chapters on Dress	لباس کے ابواب	पोशाक के अध्याय	পোশাক সংক্রান্ত অধ্যায়	Bab pakaian
Chapters on Drinks	مشروبات کے ابواب	पेय के अध्याय	পানীয় সংক্রান্ত অধ্যায়	Bab minuman
Chapters on Food	کھانے کے ابواب	भोजन के अध्याय	খাবার সংক্রান্ত অধ্যায়	Bab makanan
Chapters on Hajj Rituals	حج کے مناسک کے ابواب	हज के अनुष्ठानों के अध्याय	হজের অনুষ্ঠান সংক্রান্ত অধ্যায়	Bab manasik haji
Chapters on Hunting	شکار کے ابواب	शिकार के अध्याय	শিকার সংক্রান্ত অধ্যায়	Bab berburu
Chapters on Knowledge	علم کے ابواب	ज्ञान के अध्याय	জ্ঞান সংক্রান্ত অধ্যায়	Bab ilmu
Chapters on Manners	آداب کے ابواب	शिष्टाचार के अध्याय	শিষ্টাচার সংক্রান্ত অধ্যায়	Bab adab
Chapters on Medicine	طب کے ابواب	चिकित्सा के अध्याय	চিকিৎসা সংক্রান্ত অধ্যায়	Bab pengobatan
Chapters on Parables	مثالوں کے ابواب	उदाहरणों के अध्याय	উপমা সংক্রান্ত অধ্যায়	Bab perumpamaan
Chapters on Recitation	قراءت کے ابواب	तिलावत के अध्याय	তিলাওয়াত সংক্রান্ত অধ্যায়	Bab bacaan
Chapters on Righteousness And Maintaining Good Relations With Relatives	نیکی اور صلہ رحمی کے ابواب	नेकी और नातेदारी निभाने के अध्याय	সৎকর্ম ও আত্মীয়তার সম্পর্ক রক্ষা সংক্রান্ত অধ্যায়	Bab kebajikan dan silaturahmi
Chapters on Sacrifices	قربانی کے ابواب	कुरबानी के अध्याय	কুরবানি সংক্রান্ত অধ্যায়	Bab kurban
Chapters on Seeking Permission	اجازت طلبی کے ابواب	अनुमति माँगने के अध्याय	অনুমতি চাওয়া সংক্রান্ত অধ্যায়	Bab meminta izin
Chapters on Shares of Inheritance	حصوںِ میراث کے ابواب	विरासत के हिस्सों के अध्याय	মিরাসের অংশ সংক্রান্ত অধ্যায়	Bab bagian warisan
Chapters on Slaughtering	ذبیحہ کے ابواب	ज़बह करने के अध्याय	জবাই সংক্রান্ত অধ্যায়	Bab penyembelihan
Chapters on Supplication	دعا کے ابواب	दुआ के अध्याय	দোয়া সংক্রান্ত অধ্যায়	Bab doa
Chapters on Tafsir	تفسیر کے ابواب	तफ़सीर के अध्याय	তাফসির সংক্রান্ত অধ্যায়	Bab tafsir
Chapters on The Virtues of the Qur'an	فضائلِ قرآن کے ابواب	कुरआन की فضीलतों के अध्याय	কুরআনের ফজিলত সংক্রান্ত অধ্যায়	Bab keutamaan Al-Qur'an
Chapters on Virtues	فضائل کے ابواب	फ़ज़ीलतों के अध्याय	ফজিলত সংক্রান্ত অধ্যায়	Bab keutamaan
Chapters on the description of Paradise	جنت کی صفات کے ابواب	जन्नत के वर्णन के अध्याय	জান্নাতের বিবরণ সংক্রান্ত অধ্যায়	Bab sifat surga
Chapters on the description of the Day of Judgement, Ar-Riqaq, and Al-Wara'	قیامت، رقائق اور ورع کے ابواب	कयामत, अर्-रिक़ाक और अल-वरअ के अध्याय	কিয়ামত, আর-রিকাক ও আল-ওয়ারা সংক্রান্ত অধ্যায়	Bab hari kiamat, Ar-Riqaq, dan Al-Wara'
Characteristics of The Hypocrites And Rulings Concerning Them	منافقین کی صفات اور ان کے احکام	मुनाफिक़ों की विशेषताएँ और उनके अहकाम	মুনাফিকদের বৈশিষ্ট্য ও সংশ্লিষ্ট বিধান	Sifat orang munafik dan hukumnya
Characteristics of the Day of Judgment, Paradise, and Hell	قیامت، جنت اور دوزخ کی صفات	कयामत, जन्नत और जहन्नम की विशेषताएँ	কিয়ামত, জান্নাত ও জাহান্নামের বৈশিষ্ট্য	Sifat hari kiamat, surga, dan neraka
Clothing (Kitab Al-Libas)	لباس (کتاب اللباس)	वस्त्र (किताब अल-लिबास)	পোশাক (কিতাবুল লিবাস)	Pakaian (Kitab Al-Libas)
Combing the Hair (Kitab Al-Tarajjul)	بالوں کی تیمار (کتاب الترجّل)	बाल संवारना (किताब अत-तरज्जुल)	চুল আঁচড়ানো (কিতাবুত তারজ্জুল)	Menyisir rambut (Kitab Al-Tarajjul)
Commercial Transactions (Kitab Al-Buyu)	تجارتی معاملات (کتاب البیوع)	व्यापार (किताब अल-बुयू)	ব্যবসা-বাণিজ্য (কিতাবুল বুয়ু)	Jual beli (Kitab Al-Buyu)
Companions of the Prophet	اصحابِ رسول	नबी के सहाबा	নবীর সাহাবিগণ	Para sahabat Nabi
Conditions	شرائط	शर्तें	শর্তাবলি	Syarat-syarat
Dialects and Readings of the Qur'an (Kitab Al-Huruf Wa Al-Qira'at)	قرآن کے لہجے اور قراءتیں (کتاب الحروف والقراءات)	कुरआन की बोलियाँ और क़िराअतें (किताब अल-हुरूफ वल-क़िराआत)	কুরআনের উপভাষা ও কিরাআত (কিতাবুল হুরুফ ওয়াল কিরাআত)	Dialek dan qiraat Al-Qur'an (Kitab Al-Huruf Wa Al-Qira'at)
Distribution of Water	پانی کی تقسیم	जल वितरण	পানি বণ্টন	Pembagian air
Divination and Omens (Kitab Al-Kahanah Wa Al-Tatayyur)	کهانت اور شگون (کتاب الکہانہ والتطیر)	भविष्यवाणी और शकुन (किताब अल-कहानह वत-ततय्युर)	গণক ও শকুন (কিতাবুল কাহানাহ ওয়াত তাতায়্যুর)	Perdukunan dan tathayyur (Kitab Al-Kahanah Wa Al-Tatayyur)
Divine Will (Al-Qadar)	تقدیر (القدر)	ईश्वरीय इच्छा (अल-कदर)	তাকদির (আল-কদর)	Takdir (Al-Qadar)
Divorce	طلاق	तलाक	তালাক	Talak
Divorce (Kitab Al-Talaq)	طلاق (کتاب الطلاق)	तलाक (किताब अत-तलाक)	তালাক (কিতাবুত তালাক)	Talak (Kitab Al-Talaq)
Dress	لباس	पोशाक	পোশাক	Pakaian
Drinks	مشروبات	पेय	পানীয়	Minuman
Drinks (Kitab Al-Ashribah)	مشروبات (کتاب الاشربہ)	पेय (किताब अल-अश्रिबह)	পানীয় (কিতাবুল আশরবাহ)	Minuman (Kitab Al-Ashribah)
Eclipses	سورج اور چاند گرہن	ग्रहण	গ্রহণ	Gerhana
Establishing the Prayer and the Sunnah Regarding Them	نماز قائم کرنا اور اس کی سنتیں	नमाज़ क़ायम करना और उसकी सुन्नतें	নামাজ কায়েম ও সংশ্লিষ্ট সুন্নাহ	Mendirikan salat dan sunahnya
Etiquette	آداب	शिष्टाचार	শিষ্টাচার	Adab
Expiation for Unfulfilled Oaths	ناتمام قسم کا کفارہ	अधूरी क़सम का कफ़्फ़ारा	অপূর্ণ শপথের কাফফারা	Kafarat sumpah yang tidak dipenuhi
Fasting	روزہ	रोज़ा	রোজা	Puasa
Fasting (Kitab Al-Siyam)	روزہ (کتاب الصیام)	रोज़ा (किताब अस-सियाम)	রোজা (কিতাবুস সিয়াম)	Puasa (Kitab Al-Siyam)
